code,name,registered,voters,blanks,nulls,boycotts,PPD/PSD,PS,CDS-PP,PCP-PEV,B.E.,MEP,PCTP/MRPP,PPM,MPT,MMS,P.N.R.,P.H.,POUS,PPD/PSD.CDS-PP,L,PND,PTP,PAN,MAS,PPV,PNR,PDA
11900,Vale de Cambra,22334,8281,465,421,0,0,2084,0,352,307,0,91,53,724,0,0,0,5,3277,129,85,71,105,32,32,37,11
11000,Ílhavo,35892,9908,712,310,0,0,2341,0,758,507,0,138,51,963,0,0,0,7,3430,205,82,76,182,39,44,50,13
10300,Anadia,28136,8844,669,294,0,0,1988,0,446,255,0,93,35,671,0,0,0,23,3949,106,78,43,95,36,28,23,12
81600,Vila Real de Santo António,16852,4470,121,126,0,0,1416,0,998,311,0,133,24,245,0,0,0,1,806,87,35,28,66,16,26,23,8
111300,Torres Vedras,67018,23498,1189,846,0,0,7176,0,2954,1083,0,459,135,1541,0,0,0,27,6494,505,149,125,394,113,115,147,46
161000,Vila Nova de Cerveira,8991,2839,149,92,0,0,1061,0,137,83,0,40,18,249,0,0,0,5,852,38,40,7,35,13,8,7,5
40900,Torre de Moncorvo,9252,2829,91,81,0,0,1060,0,113,46,0,35,16,138,0,0,0,3,1139,19,30,15,17,3,8,11,4
181500,São João da Pesqueira,7530,2212,72,60,0,0,709,0,108,57,0,42,11,176,0,0,0,8,849,20,24,11,28,10,3,20,4
50400,Fundão,28627,8998,428,321,0,0,3640,0,640,319,0,172,44,649,0,0,0,20,2231,148,54,129,101,33,22,33,14
430200,Vila da Praia da Vitória,19315,3764,289,58,0,0,1673,0,100,103,0,33,19,152,0,0,0,3,1154,51,28,15,39,12,7,7,21
310600,Porto Moniz,3386,1387,30,67,0,0,509,0,20,10,0,4,6,69,0,0,0,0,564,9,8,55,21,7,6,0,2
131400,Santo Tirso,64186,23995,1086,556,0,0,9710,0,1819,754,0,368,121,1726,0,0,0,25,6581,356,195,141,299,79,55,94,30
140900,Coruche,17464,6036,183,106,0,0,2158,0,1831,188,0,109,20,268,0,0,0,6,926,74,19,22,51,22,14,32,7
182100,Tondela,28757,9311,674,319,0,0,2413,0,458,240,0,103,52,543,0,0,0,8,4066,110,91,38,105,22,26,33,10
460300,São Roque do Pico,3200,767,53,8,0,0,337,0,26,23,0,11,2,27,0,0,0,0,243,7,5,4,13,0,0,3,5
10200,Albergaria-a-Velha,22822,6989,402,236,0,0,1727,0,479,250,0,96,31,610,0,0,0,10,2762,88,67,44,87,38,14,30,18
10100,Águeda,43648,13457,939,363,0,0,4050,0,872,466,0,170,67,989,0,0,0,13,4929,183,86,46,136,46,36,50,16
121500,Sousel,4313,1758,65,63,0,0,537,0,451,37,0,41,2,83,0,0,0,1,419,13,8,7,5,4,7,12,3
160200,Caminha,16909,5596,300,168,0,0,2099,0,431,199,0,102,32,431,0,0,0,6,1515,87,57,32,74,16,19,21,7
480200,Santa Cruz das Flores,1928,490,49,9,0,0,204,0,38,6,0,11,5,23,0,0,0,1,101,3,3,2,8,5,0,4,18
311000,São Vicente,6392,1987,46,107,0,0,524,0,30,45,0,17,28,139,0,0,0,4,786,27,29,138,35,13,7,8,4
41100,Vimioso,6255,1643,42,48,0,0,561,0,40,22,0,15,5,46,0,0,0,2,793,12,30,4,8,9,1,4,1
101100,Nazaré,14441,3743,176,102,0,0,1422,0,491,222,0,76,13,302,0,0,0,3,780,48,12,21,42,14,7,9,3
20800,Ferreira do Alentejo,7127,2785,47,46,0,0,1209,0,881,82,0,65,6,86,0,0,0,2,249,31,10,7,37,11,1,10,5
31100,Vieira do Minho,14719,4712,138,98,0,0,1661,0,213,133,0,69,20,198,0,0,0,4,1995,37,41,31,39,14,8,9,4
31200,Vila Nova de Famalicão,118544,47301,2386,1090,0,0,16269,0,3075,1615,0,650,195,3482,0,0,0,49,16337,635,251,272,491,180,122,143,59
130600,Maia,112451,45212,2332,1464,0,0,13761,0,4408,2728,0,739,243,4211,0,0,0,45,12075,1058,275,236,1099,157,150,178,53
30700,Fafe,50811,17662,765,400,0,0,7060,0,1175,487,0,302,116,1327,0,0,0,35,5173,199,139,130,143,66,41,76,28
141900,Torres Novas,32367,12056,588,381,0,0,3919,0,1802,923,0,235,59,852,0,0,0,12,2566,247,76,65,169,40,51,53,18
131100,Penafiel,62535,23698,863,700,0,0,8704,0,1540,709,0,387,141,1903,0,0,0,36,7427,318,193,176,286,99,97,84,35
110800,Lourinhã,22957,7771,500,321,0,0,2003,0,484,305,0,138,45,504,0,0,0,8,2964,114,75,42,141,30,39,46,12
70700,Mora,4603,1861,51,35,0,0,424,0,913,37,0,43,2,52,0,0,0,1,253,17,5,2,15,1,3,7,0
50500,Idanha-a-Nova,9443,3554,111,119,0,0,1915,0,214,69,0,65,25,141,0,0,0,8,758,27,34,14,29,9,5,7,4
60200,Cantanhede,36609,10367,658,320,0,0,2785,0,575,386,0,120,44,718,0,0,0,8,4126,158,123,67,133,48,43,47,8
30500,Celorico de Basto,19331,6165,215,120,0,0,1821,0,266,118,0,79,29,463,0,0,0,13,2696,80,85,55,67,17,16,18,7
101200,Óbidos,10561,3343,218,111,0,0,1035,0,318,153,0,63,18,229,0,0,0,4,968,81,31,14,46,13,17,19,5
80300,Aljezur,4291,1428,63,62,0,0,501,0,249,69,0,37,8,111,0,0,0,1,205,34,9,14,38,10,7,6,4
30000,Braga,785809,290158,13785,6681,0,0,94504,0,22157,9985,0,4335,1484,22122,0,0,0,374,100203,4288,2078,1736,2919,1198,954,998,357
50100,Belmonte,6643,1904,77,58,0,0,885,0,197,75,0,40,10,126,0,0,0,1,341,29,15,18,11,7,5,5,4
131800,Trofa,31790,11351,516,341,1,0,3609,0,749,389,0,144,63,927,0,0,0,12,4024,168,76,77,122,51,17,54,12
110000,Lisboa,1904598,721186,28886,22052,0,0,216887,0,114925,38607,0,11914,4065,47280,0,0,0,665,173587,25998,3702,3191,17469,2887,3586,4493,992
320100,Porto Santo,5680,1599,43,89,0,0,619,0,36,46,0,30,7,105,0,0,0,0,434,17,17,107,22,12,7,5,3
120100,Alter do Chão,3021,1153,34,23,0,0,410,0,269,24,0,26,3,43,0,0,0,2,275,8,10,6,5,6,1,7,1
150400,Barreiro,70090,29104,747,777,0,0,8365,0,10756,1609,0,600,113,1558,0,0,0,17,2689,602,91,115,584,90,81,274,36
120000,Portalegre,102931,35746,1470,1034,0,0,14354,0,6857,1218,0,743,144,1589,0,0,0,30,6977,360,161,140,308,114,65,147,35
81100,Portimão,46608,14081,634,446,0,0,4182,0,1851,1316,0,357,91,1186,0,0,0,19,2872,345,101,99,320,74,61,103,24
151300,Sines,11974,3899,140,101,0,0,1304,0,1059,244,0,88,17,263,0,0,0,7,454,83,21,18,64,8,10,15,3
70600,Montemor-o-Novo,14911,6644,240,104,0,0,1636,0,3068,167,0,164,19,198,0,0,0,2,823,94,16,11,51,13,15,16,7
90100,Aguiar da Beira,6574,2332,73,51,0,0,984,0,30,36,0,6,15,79,0,0,0,3,971,12,21,8,12,9,6,10,6
110400,Cadaval,12510,4316,216,114,0,0,1601,0,344,113,0,67,29,265,0,0,0,5,1332,66,30,28,52,18,11,14,11
100000,Leiria,425369,137474,8902,5224,0,0,33940,0,11881,5806,0,1847,700,9386,0,0,0,169,50649,2906,1201,759,2199,574,508,578,245
470100,Horta,13123,3492,295,40,0,0,1356,0,208,103,0,21,63,108,0,0,0,1,1140,50,14,9,34,10,6,9,25
140500,Benavente,23037,6847,313,190,0,0,1883,0,1786,311,0,207,41,479,0,0,0,7,1209,124,30,39,111,29,29,47,12
130000,Porto,1587700,591603,24993,16481,1,0,200862,0,58549,27899,0,9590,3164,49957,0,0,0,597,164347,11658,3722,3121,9775,2054,1707,2274,853
50700,Penamacor,5467,1865,49,67,0,0,970,0,69,44,0,19,12,85,0,0,0,4,482,15,13,11,10,6,3,3,3
141400,Rio Maior,18172,6315,349,247,0,0,1766,0,480,243,0,82,42,377,0,0,0,5,2324,123,43,30,109,27,22,34,12
80100,Albufeira,32521,7602,363,275,0,0,2160,0,889,429,0,203,68,633,0,0,0,11,1844,189,62,68,260,46,35,49,18
11500,Ovar,49931,17123,933,521,0,0,5539,0,1764,936,0,336,103,1502,0,0,0,28,4522,300,133,94,207,66,39,80,20
170300,Chaves,45266,12330,496,421,0,0,3856,0,684,267,0,141,62,626,0,0,0,17,5134,138,155,107,97,45,37,33,14
310500,Ponta do Sol,9801,2641,40,162,0,0,471,0,63,57,0,41,25,185,0,0,0,6,1218,54,36,179,52,12,8,17,15
70200,Arraiolos,6228,2888,71,65,0,0,806,0,1319,92,0,73,8,83,0,0,0,3,277,31,5,8,23,2,5,15,2
310800,Santa Cruz,37690,13302,344,1033,0,0,2711,0,653,587,0,261,207,1545,0,0,0,39,2830,366,379,1371,638,80,102,77,79
60500,Figueira da Foz,58578,17324,1055,540,0,0,5903,0,2110,920,0,367,79,1514,0,0,0,19,3822,337,97,96,273,83,32,62,15
31400,Vizela,20751,6707,252,112,0,0,3088,0,470,270,0,133,33,599,0,0,0,11,1454,76,52,39,47,26,18,22,5
180900,Nelas,13684,3900,210,128,0,0,1268,0,212,158,0,61,23,339,0,0,0,5,1326,40,35,22,37,11,10,11,4
60600,Góis,3803,1451,59,54,0,0,677,0,48,50,0,15,5,107,0,0,0,2,372,19,10,7,10,7,3,5,1
450100,Calheta (R.A.A.),3673,894,46,20,0,0,291,0,14,15,0,6,4,42,0,0,0,2,388,14,19,2,7,2,1,2,19
141000,Entroncamento,17190,6182,340,248,0,0,2015,0,863,513,0,109,45,509,0,0,0,11,1137,125,30,30,112,22,21,41,11
130800,Matosinhos,150626,59294,2605,1652,0,0,21313,0,6598,3490,0,952,303,5145,0,0,0,53,13315,1457,318,247,1181,170,149,235,111
150300,Almada,149225,55595,1941,1721,0,0,16313,0,14393,3477,0,1040,211,3574,0,0,0,63,8635,1628,274,233,1406,182,184,254,66
310200,Câmara de Lobos,32428,10733,175,704,0,0,1679,0,482,305,0,164,116,1392,0,0,0,39,4199,170,232,567,290,74,61,44,40
120900,Gavião,3731,1601,49,36,0,0,836,0,253,49,0,39,8,64,0,0,0,1,224,9,7,3,10,8,2,3,0
181200,Penedono,3522,985,42,44,0,0,295,0,41,32,0,13,3,66,0,0,0,6,376,14,16,9,16,2,4,5,1
60000,Coimbra,392379,128483,7110,3712,1,0,43459,0,13109,6812,0,1948,546,10561,0,0,0,125,33930,2540,783,615,1676,619,348,452,138
100900,Leiria,113031,39114,3008,1640,0,0,8493,0,2242,1864,0,435,221,2625,0,0,0,43,15625,976,376,216,738,176,192,162,82
131600,Vila do Conde,69525,24272,1184,524,0,0,8716,0,1805,980,0,347,112,1962,0,0,0,28,7235,431,197,107,336,108,65,89,46
30400,Cabeceiras de Basto,17118,5656,140,143,0,0,2614,0,193,99,0,43,20,259,0,0,0,8,1920,59,39,29,47,12,9,19,3
120200,Arronches,2725,1011,44,26,0,0,444,0,120,15,0,15,7,39,0,0,0,1,278,3,6,2,4,4,0,1,2
110900,Mafra,60634,21395,1367,777,0,0,5575,0,2468,1056,0,355,149,1807,0,0,0,22,5966,598,147,125,605,99,101,148,30
440100,Santa Cruz da Graciosa,4459,1022,41,16,0,0,532,0,17,14,0,11,3,27,0,0,0,0,320,9,4,4,4,5,0,1,14
71200,Vendas Novas,10290,3801,162,78,0,0,1148,0,1282,122,0,75,17,137,0,0,0,4,615,59,10,10,50,11,6,12,3
160500,Paredes de Coura,9634,2472,130,43,0,0,1011,0,159,70,0,42,12,148,0,0,0,5,684,45,35,18,36,9,9,13,3
170000,Vila Real,222724,66202,2370,1932,7,0,23169,0,3343,1333,0,777,338,3543,0,0,0,92,26024,709,687,438,507,245,432,177,86
111000,Oeiras,145968,60120,2608,1799,0,0,16463,0,8089,3490,0,776,330,4280,0,0,0,77,16558,2589,277,146,1686,220,367,306,59
150900,Santiago do Cacém,25213,9142,379,222,0,0,2533,0,3018,419,0,219,44,488,0,0,0,8,1405,138,39,44,103,27,13,37,6
81000,Olhão,37593,9840,444,281,0,0,2852,0,1447,846,0,319,72,757,0,0,0,8,1991,213,87,69,250,72,42,70,20
100100,Alcobaça,49162,17262,1014,833,0,0,4431,0,1294,593,0,219,89,1054,0,0,0,16,6647,371,125,108,245,58,68,64,33
110100,Alenquer,34475,13149,555,345,0,0,4639,0,2511,564,0,316,74,825,0,0,0,14,2436,288,91,80,192,67,61,65,26
30600,Esposende,33769,10611,672,311,0,0,2372,0,642,313,0,132,64,1074,0,0,0,20,4389,178,91,70,145,39,41,46,12
181300,Resende,11140,3557,95,78,0,0,1740,0,97,60,0,34,19,175,0,0,0,3,1157,26,25,14,13,11,2,5,3
121000,Marvão,2993,1003,58,28,0,0,426,0,82,31,0,24,5,53,0,0,0,1,261,12,2,3,5,3,3,2,4
300000,Madeira,257919,87340,1710,5800,0,0,19713,0,4199,3216,0,1489,991,8750,0,0,0,232,27079,1764,1987,5737,2915,462,479,450,367
20000,Beja,131074,47420,1368,1055,0,0,16451,0,16721,1599,0,1281,156,1488,0,0,0,32,5363,597,185,181,493,121,84,197,48
11400,Oliveira do Bairro,21038,6227,383,207,0,0,845,0,249,168,0,57,30,438,0,0,0,5,3531,81,58,39,61,21,22,26,6
130300,Felgueiras,51786,17291,619,339,0,0,6108,0,951,568,0,308,121,1345,0,0,0,23,6110,180,160,124,131,63,54,61,26
110700,Loures,165175,66730,2458,2203,0,0,21288,0,15705,3016,0,1320,329,3981,0,0,0,46,11773,1542,332,328,1371,264,206,459,109
460200,Madalena,5643,1262,93,19,0,0,400,0,41,24,0,8,6,57,0,0,0,0,564,8,5,5,20,4,0,2,6
121300,Ponte de Sor,14794,4867,183,126,0,0,1759,0,1287,250,0,98,23,228,0,0,0,2,726,55,18,26,42,9,9,24,2
182400,Vouzela,9997,3477,233,82,0,0,1093,0,138,117,0,39,12,204,0,0,0,8,1408,24,36,20,24,16,8,14,1
60100,Arganil,11126,4206,194,147,0,0,1498,0,175,121,0,53,11,231,0,0,0,5,1564,44,36,31,53,15,8,15,5
100600,Caldas da Rainha,45557,14768,823,476,0,0,3783,0,1265,661,0,188,78,1069,0,0,0,15,5332,405,114,51,281,67,61,71,28
100300,Ansião,12101,4110,218,129,0,0,1011,0,173,75,0,33,20,291,0,0,0,4,1923,57,40,29,50,23,14,12,8
91200,Seia,24437,8393,479,311,0,0,3248,0,621,221,0,91,32,518,0,0,0,17,2501,94,65,37,77,22,20,29,10
110600,Lisboa,503525,207943,7621,5352,0,0,60757,0,28241,11065,0,2719,1150,11812,0,0,0,178,58008,11234,900,686,4993,717,1140,1103,267
142100,Ourém,42787,14224,903,597,0,0,2448,0,495,338,0,133,71,926,0,0,0,13,7369,239,162,87,160,59,152,52,20
11300,Oliveira de Azeméis,61078,21737,1109,727,0,0,6860,0,1140,781,0,299,135,1995,0,0,0,28,7392,341,191,159,287,83,66,113,31
151200,Setúbal,103436,34633,1273,995,0,0,10307,0,8429,2171,0,750,168,2224,0,0,0,32,5704,885,153,177,901,125,109,173,57
61400,Penela,5292,1798,128,55,0,0,573,0,83,47,0,16,7,121,0,0,0,5,667,30,18,11,17,7,5,5,3
180700,Moimenta da Beira,11405,3034,151,90,0,0,1006,0,149,58,0,41,21,153,0,0,0,6,1225,34,28,15,23,9,11,9,5
61000,Montemor-o-Velho,22825,6644,363,143,0,0,2641,0,781,302,0,116,40,553,0,0,0,7,1410,91,37,25,69,26,14,18,8
61100,Oliveira do Hospital,18916,6124,365,217,0,0,2275,0,286,139,0,62,25,357,0,0,0,3,2146,70,43,31,40,18,18,17,12
30100,Amares,19325,5958,335,141,0,0,1635,0,398,178,0,71,21,492,0,0,0,9,2439,68,34,26,54,18,18,13,8
131700,Vila Nova de Gaia,261855,99448,4622,3053,0,0,34330,0,11413,5396,0,1877,529,8710,0,0,0,97,23205,2000,527,539,1936,391,305,395,123
170400,Mesão Frio,4240,1210,73,35,0,0,539,0,45,40,0,12,5,53,0,0,0,2,351,13,6,12,12,5,1,4,2
40500,Macedo de Cavaleiros,18522,5302,183,199,0,0,1661,0,199,106,0,63,20,249,0,0,0,2,2379,46,59,29,48,17,12,21,9
80000,Faro,372673,106388,4916,3251,0,0,32986,0,14906,7340,0,2799,651,7896,0,0,0,139,23311,2342,823,718,2562,505,401,666,176
400000,Açores,226885,44786,2872,957,0,0,18497,0,1734,1649,0,472,324,2311,0,0,0,41,13266,641,291,227,562,130,88,105,619
61700,Vila Nova de Poiares,6300,1678,93,58,0,0,597,0,118,61,0,31,5,108,0,0,0,2,518,34,14,9,16,3,4,6,1
150000,Setúbal,725166,257848,8940,7623,0,0,74212,0,74867,15445,0,5609,1104,16079,0,0,0,231,35861,6182,1143,1200,5771,865,877,1525,314
410100,Vila do Porto,5358,999,94,22,0,0,429,0,65,46,0,10,7,65,0,0,0,0,205,11,13,3,7,4,2,2,14
20400,Barrancos,1420,414,14,11,0,0,144,0,138,6,0,10,1,21,0,0,0,0,57,3,1,1,4,0,0,3,0
180200,Carregal do Sal,9994,2779,142,93,0,0,895,0,115,61,0,27,15,206,0,0,0,4,1115,25,23,14,20,8,4,9,3
130100,Amarante,54081,17708,468,321,0,0,7326,0,662,411,0,134,87,2271,0,0,0,20,5232,245,132,101,129,69,24,53,23
110300,Azambuja,17595,6721,271,238,0,0,2231,0,1399,353,0,192,38,475,0,0,0,8,1081,154,30,20,123,33,20,42,13
40200,Bragança,36603,9055,389,315,0,0,3016,0,512,289,0,98,46,575,0,0,0,7,3373,120,95,41,94,27,19,25,14
171200,Valpaços,20860,5863,164,193,0,0,1325,0,124,73,0,36,42,242,0,0,0,8,3436,36,61,28,28,19,22,17,9
111500,Amadora,144517,54311,1852,1845,0,0,18484,0,9785,3038,0,980,303,3667,0,0,0,60,10051,1464,267,312,1267,313,225,330,68
70300,Borba,6312,2506,86,56,0,0,1066,0,566,82,0,66,7,111,0,0,0,4,364,24,14,14,18,6,7,13,2
170200,Boticas,7793,2857,91,72,0,0,654,0,107,21,0,33,15,91,0,0,0,4,1675,9,41,10,12,6,1,6,9
20500,Beja,30150,11146,317,288,0,0,3437,0,3920,483,0,266,26,422,0,0,0,10,1525,160,30,40,117,34,22,42,7
141700,Sardoal,3474,1781,92,83,0,0,519,0,137,90,0,25,9,134,0,0,0,6,536,48,26,9,37,9,13,6,2
130900,Paços de Ferreira,47164,15209,714,327,0,0,4792,0,813,377,0,203,72,1100,0,0,0,10,6033,211,119,137,129,45,38,61,28
121400,Portalegre,21572,6881,415,256,0,0,2457,0,850,311,0,125,24,356,0,0,0,11,1756,104,36,30,83,22,12,29,4
40800,Mogadouro,11042,3491,110,102,0,0,1265,0,78,49,0,32,27,150,0,0,0,5,1536,21,33,25,17,12,5,13,11
150700,Montijo,41497,12762,532,327,0,0,3881,0,2858,755,0,314,60,826,0,0,0,10,2313,295,49,61,291,44,49,89,8
480100,Lajes das Flores,1307,416,35,13,0,0,168,0,12,17,0,0,3,14,0,0,0,0,118,2,0,2,6,2,0,0,24
90900,Meda,5841,1818,108,104,0,0,581,0,65,38,0,10,21,85,0,0,0,3,727,12,16,13,15,11,4,2,3
160700,Ponte de Lima,42420,15093,829,439,1,0,3154,0,928,319,0,217,90,1073,0,0,0,12,7298,180,127,129,118,50,49,50,31
21400,Vidigueira,5013,1882,71,36,0,0,664,0,671,45,0,64,4,51,0,0,0,0,198,30,9,10,14,1,5,8,1
90300,Celorico da Beira,8600,2785,79,93,0,0,1101,0,123,64,0,25,4,197,0,0,0,7,959,34,29,19,25,8,11,3,4
101600,Porto de Mós,21631,7496,547,313,0,0,1822,0,402,300,0,80,38,539,0,0,0,8,2933,175,89,65,97,32,15,29,12
10400,Arouca,20787,6646,424,157,0,0,1501,0,248,124,0,56,44,564,0,0,0,3,3163,63,51,56,67,21,70,23,11
182000,Tarouca,7997,2248,71,87,0,0,621,0,159,77,0,38,6,134,0,0,0,1,956,16,23,15,20,12,6,3,3
170900,Ribeira de Pena,8738,1954,52,35,0,0,819,0,78,12,0,15,7,135,0,0,0,5,713,16,28,9,9,7,5,8,1
